title,document_type,year,status,local_path,source_url,download_url,notes
"Purpose for Progress Impact Report 2024/2025","impact_report","2024-2025","downloaded","03_sustainability_esg/impact_reports/2024-2025_merck_purpose-for-progress-impact-report-2024-2025.pdf","https://www.merck.com/company-overview/sustainability/sustainability-resources/","https://www.merck.com/wp-content/uploads/sites/124/2025/08/PurposeforProgressMerckImpactReport2024-2025.pdf",""
"2024 Performance Data Spreadsheet","performance_data","2025-2008","downloaded","03_sustainability_esg/performance_data/2025-2008_merck_2024-performance-data-spreadsheet.xlsx","https://www.merck.com/company-overview/sustainability/sustainability-resources/","https://www.merck.com/wp-content/uploads/sites/124/2025/08/Performance-Data-2024_2025-1.xlsx",""
"Purpose for Progress Report Summary 2024/2025","impact_report","2024-2025","downloaded","03_sustainability_esg/impact_reports/2024-2025_merck_purpose-for-progress-report-summary-2024-2025.pdf","https://www.merck.com/company-overview/sustainability/","https://www.merck.com/wp-content/uploads/sites/124/2025/08/MerckPurposeforProgressReportSummary.pdf",""
"2023/2024 Impact Report","impact_report","2023-2024","downloaded","03_sustainability_esg/impact_reports/2023-2024_merck_2023-2024-impact-report.pdf","https://www.merck.com/news/merck-reports-strong-momentum-in-expanding-and-enabling-access-to-health-care-driving-sustainability-and-operating-responsibly-in-2023-2024-impact-report/","https://www.merck.com/wp-content/uploads/sites/124/2024/08/Merck_ImpactReport_2023-2024.pdf",""
"2023/2024 Impact Report Summary","impact_report","2023-2024","downloaded","03_sustainability_esg/impact_reports/2023-2024_merck_2023-2024-impact-report-summary.pdf","https://www.merck.com/stories/merck-publishes-2023-2024-impact-report/","https://www.merck.com/wp-content/uploads/sites/124/2024/08/Merck_ImpactReport_Summary_2023-24.pdf",""
"Merck Impact Report 2022/2023 announcement snapshot","esg_report_announcement","2022-2023","snapshot_saved","03_sustainability_esg/report_announcements/2022-2023_merck_merck-impact-report-2022-2023-announcement-snapshot.html","https://www.merck.com/news/merck-reports-strong-progress-on-its-commitments-to-advancing-access-to-health-and-operating-responsibly/","https://www.merck.com/news/merck-reports-strong-progress-on-its-commitments-to-advancing-access-to-health-and-operating-responsibly/","HTML snapshot. The announcement references Merck's Impact Report 2022/2023, but the direct PDF linked from the page currently returns 404."
"Merck 2021/2022 ESG Progress Report","impact_report","2021-2022","downloaded","03_sustainability_esg/impact_reports/2021-2022_merck_merck-2021-2022-esg-progress-report.pdf","https://www.merck.com/news/merck-reports-strong-progress-in-esg-focus-areas/","https://www.merck.com/wp-content/uploads/sites/124/2022/08/MRK-ESG-report-21-22.pdf",""
"Merck 2020/2021 ESG Progress Report announcement snapshot","esg_report_announcement","2020-2021","snapshot_saved","03_sustainability_esg/report_announcements/2020-2021_merck_merck-2020-2021-esg-progress-report-announcement-snapshot.html","https://www.merck.com/news/building-sustainable-value-for-our-business-and-society/","https://www.merck.com/news/building-sustainable-value-for-our-business-and-society/","HTML snapshot. The announcement references a 2020/2021 ESG Progress Report available online, but no direct report PDF was available from the current page."
"Merck Issues 2019/2020 Corporate Responsibility Report announcement","esg_report_announcement","2019-2020","downloaded","03_sustainability_esg/report_announcements/2019-2020_merck_merck-issues-2019-2020-corporate-responsibility-report-announcement.pdf","https://www.merck.com/news/merck-issues-2019-2020-corporate-responsibility-report/","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Issues-20192020-Corporate-Responsibility-Report-2020.pdf",""
"Merck Issues 2018/2019 Corporate Responsibility Report announcement","esg_report_announcement","2018-2019","downloaded","03_sustainability_esg/report_announcements/2018-2019_merck_merck-issues-2018-2019-corporate-responsibility-report-announcement.pdf","https://www.merck.com/news/merck-issues-2018-2019-corporate-responsibility-report/","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Issues-20182019-Corporate-Responsibility-Report-2019.pdf",""
"Merck Publishes 2017/2018 Corporate Responsibility Report announcement","esg_report_announcement","2017-2018","downloaded","03_sustainability_esg/report_announcements/2017-2018_merck_merck-publishes-2017-2018-corporate-responsibility-report-announcement.pdf","https://www.merck.com/news/merck-publishes-corporate-responsibility-report/","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Publishes-Corporate-Responsibility-Report-2018.pdf",""
"Merck Publishes 2016/2017 Corporate Responsibility Report announcement","esg_report_announcement","2016-2017","downloaded","03_sustainability_esg/report_announcements/2016-2017_merck_merck-publishes-2016-2017-corporate-responsibility-report-announcement.pdf","https://www.merck.com/news/merck-publishes-annual-corporate-responsibility-report/","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Publishes-Annual-Corporate-Responsibility-Report-2017.pdf",""
"Merck Publishes 2015/2016 Global Corporate Responsibility Report announcement","esg_report_announcement","2015-2016","downloaded","03_sustainability_esg/report_announcements/2015-2016_merck_merck-publishes-2015-2016-global-corporate-responsibility-report-announcement.pdf","https://www.merck.com/news/merck-publishes-2015-2016-global-corporate-responsibility-report/","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Publishes-20152016-Global-Corporate-Responsibility-Report-2016.pdf",""
"Merck Publishes 2014 Global Corporate Responsibility Report announcement","esg_report_announcement","2014","downloaded","03_sustainability_esg/report_announcements/2014_merck_merck-publishes-2014-global-corporate-responsibility-report-announcement.pdf","https://www.merck.com/news/merck-publishes-2014-global-corporate-responsibility-report/","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Publishes-2014-Global-Corporate-Responsibility-Report-2015.pdf",""
